DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,All-items HICP,Portugal,2016,100.64,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,All-items HICP,Portugal,2017,102.20,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,All-items HICP,Portugal,2018,103.40,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,All-items HICP,Portugal,2019,103.71,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,All-items HICP,Portugal,2020,103.58,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,All-items HICP,Portugal,2021,104.55,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,All-items HICP,Portugal,2022,113.03,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,All-items HICP,Portugal,2023,118.98,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,All-items HICP,Portugal,2024,122.15,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Austria,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Austria,2016,100.70,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Austria,2017,103.04,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Austria,2018,104.59,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Austria,2019,105.74,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Austria,2020,108.19,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Austria,2021,108.94,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Austria,2022,120.63,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Austria,2023,133.92,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Austria,2024,137.52,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Belgium,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Belgium,2016,102.02,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Belgium,2017,102.82,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Belgium,2018,104.95,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Belgium,2019,105.59,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Belgium,2020,108.40,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Belgium,2021,107.90,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Belgium,2022,117.62,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Belgium,2023,133.85,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Belgium,2024,136.63,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Germany,2015,100.0,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Germany,2016,100.9,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Germany,2017,103.8,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Germany,2018,106.2,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Germany,2019,107.5,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Germany,2020,109.9,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Germany,2021,113.3,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Germany,2022,127.6,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Germany,2023,143.7,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Germany,2024,147.1,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Spain,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Spain,2016,101.40,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Spain,2017,102.65,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Spain,2018,104.34,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Spain,2019,105.42,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Spain,2020,107.90,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Spain,2021,109.89,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Spain,2022,122.69,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Spain,2023,136.99,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,Spain,2024,141.87,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,France,2015,100.00,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,France,2016,100.56,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,France,2017,101.65,,
ESTAT:PRC_HICP_AIND(1.0),16/04/25 11:00:00,Annual,Annual average index,Food and non-alcoholic beverages,France,2018,103.65,,
